id_execucao,id_cenario,grupo,patologia,n_holders,distribuicao,parametro_dist,n_candidatos,tamanho_comite,turnout,n_aprovacoes,n_blocos,frac_proxy,tam_cartel,orcamento_suborno,frac_exchange,frac_colludida,n_rodadas,vantagem_incumbencia,reinveste_recompensa,metrica,camada,media,ic95,n_runs,seed_base
20260703-200911,4,G4,compra_de_voto,200,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.1,0.0,0.0,1,0.0,0.0,custo_takeover_51,eleito,3.817094,0.475914,30,123
20260703-200911,4,G4,compra_de_voto,200,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.1,0.0,0.0,1,0.0,0.0,custo_takeover_51,produzido,3.817094,0.475914,30,123
20260703-200911,4,G4,compra_de_voto,200,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.1,0.0,0.0,1,0.0,0.0,gini,stake,0.643934,0.040117,30,123
20260703-200911,4,G4,compra_de_voto,200,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.1,0.0,0.0,1,0.0,0.0,gini,eleito,0.27732,0.040368,30,123
20260703-200911,4,G4,compra_de_voto,200,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.1,0.0,0.0,1,0.0,0.0,gini,produzido,0.280776,0.040731,30,123
20260703-200911,4,G4,compra_de_voto,200,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.1,0.0,0.0,1,0.0,0.0,coef_nakamoto,stake,5.133333,1.235093,30,123
20260703-200911,4,G4,compra_de_voto,200,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.1,0.0,0.0,1,0.0,0.0,coef_nakamoto,eleito,4.666667,0.254485,30,123
20260703-200911,4,G4,compra_de_voto,200,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.1,0.0,0.0,1,0.0,0.0,coef_nakamoto,produzido,4.6,0.259071,30,123
20260703-200911,5,G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,1,0.0,0.0,custo_por_cadeira,stake,0.002588,0.00106,30,123
20260703-200911,5,G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,1,0.0,0.0,custo_por_cadeira,eleito,0.002588,0.00106,30,123
20260703-200911,5,G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,1,0.0,0.0,custo_por_cadeira,produzido,0.002588,0.00106,30,123
20260703-200911,5,G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,1,0.0,0.0,custo_takeover,stake,2.982834,0.02752,30,123
20260703-200911,5,G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,1,0.0,0.0,custo_takeover,eleito,2.982834,0.02752,30,123
20260703-200911,5,G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,1,0.0,0.0,custo_takeover,produzido,2.982834,0.02752,30,123
20260703-200911,5,G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,1,0.0,0.0,custo_takeover_51,stake,4.150642,0.039023,30,123
20260703-200911,5,G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,1,0.0,0.0,custo_takeover_51,eleito,4.150642,0.039023,30,123
20260703-200911,5,G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,1,0.0,0.0,custo_takeover_51,produzido,4.150642,0.039023,30,123
20260703-200911,5,G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,1,0.0,0.0,gini,stake,0.334745,0.005923,30,123
20260703-200911,5,G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,1,0.0,0.0,gini,eleito,0.035231,0.002681,30,123
20260703-200911,5,G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,1,0.0,0.0,gini,produzido,0.044216,0.002658,30,123
